Date,Time,Temp [deg C],pH [Units],SpCond [uS/cm],DO [mg/l],TDS [g/l]
9/20/2014,12:00:00 AM,18.07,8.28,674,8.13,0.4
9/20/2014,12:03:00 AM,18.05,8.28,675,8.12,0.4
9/20/2014,12:06:00 AM,18.05,8.28,675,8.15,0.4
9/20/2014,12:09:00 AM,18.06,8.28,675,8.15,0.4
9/20/2014,12:12:00 AM,18.06,8.28,676,8.14,0.4
9/20/2014,12:15:00 AM,18.05,8.28,676,8.15,0.4
9/20/2014,12:18:00 AM,18.07,8.28,676,8.16,0.4
9/20/2014,12:21:00 AM,18.06,8.28,677,8.18,0.4
9/20/2014,12:24:00 AM,18.06,8.28,677,8.16,0.4
9/20/2014,12:27:00 AM,18.04,8.28,678,8.15,0.4
9/20/2014,12:30:00 AM,18.05,8.28,678,8.17,0.4
9/20/2014,12:33:00 AM,18.05,8.28,678,8.16,0.4
9/20/2014,12:36:00 AM,18.04,8.28,679,8.17,0.4
9/20/2014,12:39:00 AM,18.05,8.28,679,8.17,0.4
9/20/2014,12:42:00 AM,18.04,8.29,679,8.18,0.4
9/20/2014,12:45:00 AM,18.04,8.28,680,8.19,0.4
9/20/2014,12:48:00 AM,18.04,8.29,680,8.18,0.4
9/20/2014,12:51:00 AM,18.03,8.29,680,8.2,0.4
9/20/2014,12:54:00 AM,18.02,8.29,680,8.17,0.4
9/20/2014,12:57:00 AM,18.02,8.29,680,8.2,0.4
9/20/2014,1:00:00 AM,18.03,8.3,680,8.19,0.4
9/20/2014,1:03:00 AM,18.01,8.3,681,8.18,0.4
9/20/2014,1:06:00 AM,18.02,8.3,681,8.2,0.4
9/20/2014,1:09:00 AM,18.02,8.3,681,8.2,0.4
9/20/2014,1:12:00 AM,18.01,8.3,682,8.18,0.4
9/20/2014,1:15:00 AM,18.03,8.3,682,8.19,0.4
9/20/2014,1:18:00 AM,18.03,8.3,682,8.18,0.4
9/20/2014,1:21:00 AM,18.02,8.3,683,8.21,0.4
9/20/2014,1:24:00 AM,18.01,8.3,684,8.21,0.4
9/20/2014,1:27:00 AM,18.03,8.29,684,8.2,0.4
9/20/2014,1:30:00 AM,18.01,8.3,684,8.23,0.4
9/20/2014,1:33:00 AM,18.02,8.3,685,8.22,0.4
9/20/2014,1:36:00 AM,18.02,8.3,684,8.22,0.4
9/20/2014,1:39:00 AM,18.03,8.3,684,8.23,0.4
9/20/2014,1:42:00 AM,18.02,8.3,684,8.21,0.4
9/20/2014,1:45:00 AM,18.01,8.3,685,8.22,0.4
9/20/2014,1:48:00 AM,18.02,8.3,684,8.23,0.4
9/20/2014,1:51:00 AM,18.02,8.3,685,8.22,0.4
9/20/2014,1:54:00 AM,18.01,8.31,685,8.23,0.4
9/20/2014,1:57:00 AM,18.03,8.3,685,8.21,0.4
9/20/2014,2:00:00 AM,18.03,8.31,684,8.24,0.4
9/20/2014,2:03:00 AM,18.04,8.3,684,8.23,0.4
9/20/2014,2:06:00 AM,18.05,8.31,684,8.21,0.4
9/20/2014,2:09:00 AM,18.05,8.31,684,8.2,0.4
9/20/2014,2:12:00 AM,18.05,8.31,684,8.23,0.4
9/20/2014,2:15:00 AM,18.03,8.31,684,8.22,0.4
9/20/2014,2:18:00 AM,18.04,8.31,684,8.22,0.4
9/20/2014,2:21:00 AM,18.04,8.3,685,8.23,0.4
9/20/2014,2:24:00 AM,18.05,8.3,685,8.24,0.4
9/20/2014,2:27:00 AM,18.05,8.3,685,8.22,0.4
9/20/2014,2:30:00 AM,18.03,8.31,685,8.22,0.4
9/20/2014,2:33:00 AM,18.03,8.31,685,8.24,0.4
9/20/2014,2:36:00 AM,18.01,8.31,686,8.23,0.4
9/20/2014,2:39:00 AM,18.01,8.31,686,8.23,0.4
9/20/2014,2:42:00 AM,18.01,8.31,686,8.26,0.4
9/20/2014,2:45:00 AM,18.02,8.31,686,8.23,0.4
9/20/2014,2:48:00 AM,18.02,8.31,686,8.25,0.4
9/20/2014,2:51:00 AM,18.02,8.31,686,8.25,0.4
9/20/2014,2:54:00 AM,18.02,8.31,686,8.24,0.4
9/20/2014,2:57:00 AM,18.02,8.31,686,8.23,0.4
9/20/2014,3:00:00 AM,18.02,8.31,686,8.25,0.4
9/20/2014,3:03:00 AM,18.03,8.31,686,8.25,0.4
9/20/2014,3:06:00 AM,18.03,8.31,686,8.22,0.4
9/20/2014,3:09:00 AM,18.02,8.31,686,8.23,0.4
9/20/2014,3:12:00 AM,18.02,8.31,686,8.25,0.4
9/20/2014,3:15:00 AM,18.02,8.31,686,8.22,0.4
9/20/2014,3:18:00 AM,18.02,8.31,686,8.23,0.4
9/20/2014,3:21:00 AM,18.01,8.31,686,8.25,0.4
9/20/2014,3:24:00 AM,17.99,8.31,686,8.24,0.4
9/20/2014,3:27:00 AM,18.02,8.32,686,8.24,0.4
9/20/2014,3:30:00 AM,18.01,8.32,686,8.24,0.4
9/20/2014,3:33:00 AM,18,8.32,686,8.23,0.4
9/20/2014,3:36:00 AM,17.99,8.32,686,8.26,0.4
9/20/2014,3:39:00 AM,18.01,8.32,686,8.24,0.4
9/20/2014,3:42:00 AM,18,8.32,686,8.25,0.4
9/20/2014,3:45:00 AM,17.99,8.32,686,8.24,0.4
9/20/2014,3:48:00 AM,18,8.32,686,8.25,0.4
9/20/2014,3:51:00 AM,18,8.32,686,8.26,0.4
9/20/2014,3:54:00 AM,18.01,8.32,685,8.23,0.4
9/20/2014,3:57:00 AM,18,8.32,685,8.23,0.4
9/20/2014,4:00:00 AM,18,8.32,686,8.23,0.4
9/20/2014,4:03:00 AM,18,8.32,686,8.26,0.4
9/20/2014,4:06:00 AM,17.97,8.32,686,8.27,0.4
9/20/2014,4:09:00 AM,17.99,8.32,685,8.24,0.4
9/20/2014,4:12:00 AM,17.98,8.32,685,8.27,0.4
9/20/2014,4:15:00 AM,17.99,8.32,686,8.24,0.4
9/20/2014,4:18:00 AM,17.96,8.32,686,8.25,0.4
9/20/2014,4:21:00 AM,17.97,8.32,687,8.24,0.4
9/20/2014,4:24:00 AM,17.95,8.32,687,8.25,0.4
9/20/2014,4:27:00 AM,17.91,8.32,688,8.26,0.4
9/20/2014,4:30:00 AM,17.91,8.32,688,8.26,0.4
9/20/2014,4:33:00 AM,17.9,8.32,689,8.25,0.4
9/20/2014,4:36:00 AM,17.91,8.32,689,8.26,0.4
9/20/2014,4:39:00 AM,17.88,8.32,689,8.27,0.4
9/20/2014,4:42:00 AM,17.89,8.32,689,8.26,0.4
9/20/2014,4:45:00 AM,17.9,8.32,690,8.27,0.4
9/20/2014,4:48:00 AM,17.88,8.32,690,8.3,0.4
9/20/2014,4:51:00 AM,17.88,8.32,690,8.27,0.4
9/20/2014,4:54:00 AM,17.87,8.32,690,8.28,0.4
9/20/2014,4:57:00 AM,17.87,8.32,690,8.28,0.4
9/20/2014,5:00:00 AM,17.86,8.32,691,8.29,0.4
9/20/2014,5:03:00 AM,17.86,8.32,691,8.27,0.4
9/20/2014,5:06:00 AM,17.86,8.32,690,8.29,0.4
9/20/2014,5:09:00 AM,17.85,8.32,691,8.31,0.4
9/20/2014,5:12:00 AM,17.84,8.32,691,8.27,0.4
9/20/2014,5:15:00 AM,17.83,8.32,691,8.28,0.4
9/20/2014,5:18:00 AM,17.81,8.32,691,8.29,0.4
9/20/2014,5:21:00 AM,17.84,8.32,690,8.3,0.4
9/20/2014,5:24:00 AM,17.84,8.32,691,8.31,0.4
9/20/2014,5:27:00 AM,17.82,8.33,691,8.28,0.4
9/20/2014,5:30:00 AM,17.82,8.33,691,8.31,0.4
9/20/2014,5:33:00 AM,17.82,8.32,691,8.28,0.4
9/20/2014,5:36:00 AM,17.81,8.33,691,8.31,0.4
9/20/2014,5:39:00 AM,17.8,8.32,691,8.29,0.4
9/20/2014,5:42:00 AM,17.8,8.32,691,8.28,0.4
9/20/2014,5:45:00 AM,17.75,8.32,691,8.3,0.4
9/20/2014,5:48:00 AM,17.79,8.32,690,8.32,0.4
9/20/2014,5:51:00 AM,17.78,8.33,691,8.32,0.4
9/20/2014,5:54:00 AM,17.8,8.32,691,8.31,0.4
9/20/2014,5:57:00 AM,17.81,8.33,691,8.3,0.4
9/20/2014,6:00:00 AM,17.8,8.33,691,8.31,0.4
9/20/2014,6:03:00 AM,17.78,8.33,691,8.31,0.4
9/20/2014,6:06:00 AM,17.78,8.33,691,8.3,0.4
9/20/2014,6:09:00 AM,17.78,8.33,691,8.3,0.4
9/20/2014,6:12:00 AM,17.8,8.33,691,8.29,0.4
9/20/2014,6:15:00 AM,17.79,8.33,691,8.33,0.4
9/20/2014,6:18:00 AM,17.81,8.33,690,8.31,0.4
9/20/2014,6:21:00 AM,17.79,8.33,690,8.3,0.4
9/20/2014,6:24:00 AM,17.81,8.33,690,8.3,0.4
9/20/2014,6:27:00 AM,17.8,8.33,690,8.29,0.4
9/20/2014,6:30:00 AM,17.82,8.33,689,8.29,0.4
9/20/2014,6:33:00 AM,17.84,8.33,688,8.32,0.4
9/20/2014,6:36:00 AM,17.83,8.33,688,8.3,0.4
9/20/2014,6:39:00 AM,17.83,8.32,688,8.32,0.4
